
05-20 22:09:35.486  Sending ACTION_BATTERY_CHANGED: level:86, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4160, temperature:305, online:1, charging_status:0, cycle_count:0, current_avg:-36, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3193710, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:12:36.461  Sending ACTION_BATTERY_CHANGED: level:85, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4142, temperature:300, online:1, charging_status:0, cycle_count:0, current_avg:-240, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3186300, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:20:39.099  Sending ACTION_BATTERY_CHANGED: level:84, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4136, temperature:299, online:1, charging_status:0, cycle_count:0, current_avg:-175, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3149250, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:21:39.419  Sending ACTION_BATTERY_CHANGED: level:84, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4048, temperature:297, online:1, charging_status:0, cycle_count:0, current_avg:-357, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3141840, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:22:09.592  Sending ACTION_BATTERY_CHANGED: level:84, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4126, temperature:298, online:1, charging_status:0, cycle_count:0, current_avg:-324, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3141840, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:26:41.055  Sending ACTION_BATTERY_CHANGED: level:83, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4027, temperature:300, online:1, charging_status:0, cycle_count:0, current_avg:-679, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3112200, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:27:11.216  Sending ACTION_BATTERY_CHANGED: level:83, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4113, temperature:303, online:1, charging_status:0, cycle_count:0, current_avg:-538, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3108495, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:28:11.530  Sending ACTION_BATTERY_CHANGED: level:83, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4017, temperature:300, online:1, charging_status:0, cycle_count:0, current_avg:-560, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3101085, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:28:41.699  Sending ACTION_BATTERY_CHANGED: level:83, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4113, temperature:304, online:1, charging_status:0, cycle_count:0, current_avg:-455, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3097380, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:29:42.009  Sending ACTION_BATTERY_CHANGED: level:83, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4024, temperature:308, online:1, charging_status:0, cycle_count:0, current_avg:-486, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3089970, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:30:42.335  Sending ACTION_BATTERY_CHANGED: level:83, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4104, temperature:308, online:1, charging_status:0, cycle_count:0, current_avg:-558, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3078855, present:true, scale:100, technology:Li-ion, protection:0
